37,3,241174,9,13,2,9,0,4,1,0,0,99,38,1
35,3,23621,11,9,4,2,1,4,1,0,0,70,38,0
34,3,167893,15,10,2,9,0,4,1,0,0,64,38,1
45,5,216402,14,15,2,9,0,1,1,0,0,50,18,1
41,1,523910,9,13,2,2,0,2,1,0,0,40,38,0
47,5,180446,15,10,2,12,0,2,1,0,0,40,38,1
64,4,165667,10,16,2,9,0,4,1,7688,0,60,1,1
19,3,318822,15,10,4,0,2,4,0,0,0,40,38,0
36,3,187999,11,9,2,2,0,4,1,0,0,40,38,1
35,3,220098,11,9,2,7,5,4,0,0,0,40,38,1
21,3,89991,15,10,4,0,3,4,0,0,0,40,38,0
32,3,299635,8,11,2,2,0,4,1,0,0,45,38,0
55,5,185195,9,13,2,3,0,4,1,0,0,40,38,1
61,3,176839,9,13,2,9,0,4,1,15024,0,50,38,1
30,4,173858,15,10,2,3,0,1,1,0,1902,40,34,1
43,3,117037,1,7,2,13,0,4,1,0,2042,40,38,0
46,3,235646,11,9,2,2,0,4,1,0,0,40,38,1
38,3,241765,1,7,0,5,1,4,0,0,0,60,38,0
46,3,459189,15,10,2,2,0,4,1,0,1902,50,38,1
51,3,306108,10,16,4,9,1,4,1,0,0,40,38,1
35,3,189916,9,13,2,11,5,4,0,0,0,30,38,1
30,3,316471,9,13,4,0,1,4,1,0,0,50,38,0
34,3,176185,9,13,4,3,1,4,1,0,1741,40,38,0
45,3,82797,9,13,2,3,0,4,1,0,0,45,38,1
20,3,133061,11,9,4,5,3,4,1,0,0,40,38,0
39,4,131288,7,12,2,11,0,4,1,5178,0,48,38,1
52,5,240013,12,14,2,11,0,4,1,0,0,70,38,0
50,3,138179,7,12,2,2,0,4,1,0,1902,40,38,1
28,3,336951,11,9,2,3,0,4,1,0,0,50,38,1
52,6,338816,12,14,4,0,1,4,1,0,0,70,38,1
26,3,176146,4,3,5,2,1,3,1,0,0,35,25,0
46,3,247043,11,9,2,13,0,4,1,0,0,40,38,1
24,3,203518,9,13,4,9,1,4,0,0,0,40,38,0
37,0,93225,15,10,2,0,0,4,1,7688,0,40,38,1
59,4,146477,14,15,2,9,0,4,1,0,0,40,38,1
35,3,143589,9,13,3,9,1,1,0,0,0,40,29,0
36,3,100681,15,10,4,0,1,4,1,2463,0,40,38,0
44,3,225879,15,10,2,0,5,3,0,0,0,30,25,1
39,3,208778,11,9,2,6,5,4,0,0,0,40,38,1
37,5,348739,14,15,2,9,0,4,1,0,0,50,38,1
32,3,164197,9,13,2,3,0,4,1,0,0,60,38,1
33,3,301867,15,10,4,0,4,1,0,0,0,35,38,0
39,3,211440,9,13,2,11,0,4,1,0,0,50,38,1
28,3,39232,9,13,4,9,1,4,1,0,0,45,38,0
35,3,292472,10,16,2,9,0,1,1,0,0,40,35,1
42,0,91468,11,9,0,0,1,4,0,0,0,40,38,0
24,3,60783,15,10,2,13,0,4,1,0,0,70,38,1
39,3,81487,15,10,0,3,4,4,0,0,625,40,38,0
40,3,77247,2,8,2,2,0,4,1,0,0,50,38,1
66,1,75134,11,9,6,0,4,4,0,0,0,25,38,0
45,4,173664,9,13,2,3,0,4,1,0,0,45,38,1
31,3,181091,9,13,2,11,0,4,1,0,0,40,38,1
29,3,211299,8,11,4,11,1,2,1,0,0,45,38,0
37,3,330826,8,11,2,9,5,4,0,0,0,30,38,0
